title,rating,body
Value for money,3,  Value for money...selfie camera not good. In this price mobile is good.
Camera quality,3,  Camera quality is not so good...its have bluring.
Nice,4,  Nice mobile for who are not play games in mobile.
Good smart phone at affordable price,5,  It is a very good smart phone in this price range
Very good phone with battery backup,5,  Good battery but camera is ok type in this budget
Cheap and best quality,5,"  Battery life is good, overall every thing is good"
loved it,5,  overall experiance is good
very good,5,  Very good phone under 8000
replacement system,5,  in budget very good choice
Good battery backup,4,"  Good budget phone, but one should not expect more from it"
Value for money,5,  Nice remdi phones are nice I liked its features and spec.
Netwark no service dekha tha hai,1,  Faltu mobile hai bar bar network no service hu ja rah hai
Good in hand comfortable to use,3,  Good product under budget good for middle class in budget
Nice,5,  Best phone in this range.
"Bought it for my Grand dad, He's so happy. Serves the purpose.",4,  Exactly serves the purpose.
A one,5,  Camera is not good but phone is excellent
Its just okay not good at all ....,3,  Camera not good baterry life okay speaker not loud no fingerprint
Good product,5,"  Good product , better fingerprint reader and amazing battery life"
Mobile speakers not working,1,  Mobile speakers not workingPlease return phoneOr help
Camera bad,4,  Osm mobile and battery osm and camera badFast changer and a
It’s ok ....but not bad,2,  Charging time is too late and charger also heating while charging
Good quality,5,  It was great. Used it has good camera it is cheap and it's worth.
Best phone,5,  Redmi 9a mobile phone is low price but mobile phone is best phone
Camera quality,4,"  Over all is good product, but camera quality is not satisfied...."
Best mobile for low budget,5,  This product is very good.this is very nice mobile in low budget.
It is worth under 10k,5,  Excellent mobile
Lovely product,5,  Very good phone & value for money
Super....,5,  Nice one... Fantastic service....
Okay,4,  Did not receive any phone case...
Bubget mobile,5,  Good budget mobile but they misses finger print sensors
Want to replace,1,  Not good.hanging too much after 3-4hours  automatically switch off
Best budget,5,  Budget friendly
Fantastic,5,  Over all ok
Device ok,5,  Box damaged
Good one,5,  Nice phone
Redmi 9A,4,  mobile okay but camera quality need to improve .
Excellent Product,5,  amazing excellent product battery life excellent
Very worst phone,1,  The processor is very slow and not upto the mark
I don't got my credit card benefit even i paid mony on credit card Icici,4,  Can't able to understand how can get credit card benefit
Superb quality of 9a,5,  Wow fantastic mobile new features slim mobile large inch
Phone to hachha h par thoda wait jada hai phone ka,5,  Phone to hachha h par thoda wait bajan jada hai phone ka
Without headphone received,4,  There is no any headphone with this pack . Please advise
Good,4,  Battery and performance good but camera quality not good
H,1,  Redmi india item orderd but get redmi China product its cheeting
Value for money,4,  Good mobile at this rate.
Worth at this price,5,  Worth at this price range
Redmi 8 dual is better option than this.,3,  Only for basic functions.
good,5,  good
Surarb,5,  Nice
Good,5,  Good
5,5,  Good
Nice,4,  Good
Average,5,  Good
Fantastic,4,  Good
Good,5,  Good
Nice,5,  Nice
Good,5,  Good
Good,5,  Good
Good,4,  Good
Nice,4,  Mast
Excellent,5,  Like
not good,1,"  no fingerprint reader, no clear description, battery life is ok."
Don't buy.,3,  Camera picture quality very very poor.Overall phone is ok.
Must buy,4,  Budget phone of this price range.. Display and battery amazing..
Go for it,5,  Nice Phone at this price range.timely delivered thank you Amazon
Poor product,1,  Very poor  operations  and hanging problems so pls dont pursache
Display not working,1,  Display black how can change the display
Good,5,  Good
Good phone,4,  Good phone
Good product,5,  Phone is very good at this price
WORTHY,5,  good....got in the amazon sale
-100,1,  Worst phone ever
Redmi9A excellent phone,5,  Very nice Phone👌
Don't recommend,1,  Camera is too bad
Nice,5,  Very nice product
Love it,5,  Best budget phone
Awesome,5,  Nice phone
Ok,1,  Battery ok
Awesome product,4,  Good phone
For the elder member of your family,4,  Mi always grab the market in budget phone s. 6499* price
Not bad but its good,2,  good one
nice,5,  this is much good phone in this price range. thanx amazon
Amazing product delivered,5,  Nice color with latest features And worth it ❤️
Gatia phone,1,  Very Bad quality and very Bad phone is not good
best one I got,5,  battery has long life and smooth working system
A very good smartphone phone in low price,2,  Good battery life in this price. A very good smartphone
Vaule for money,5,  Only draw back is that phone doesn't have fringerprint.
Camera quality is tooo bad,2,  Camera quality is too bad.. waste of money on buying it
Great phone ❤️,4,  Camera broke my heart 💔 but the battery Save my life😂
Low quality cable,1,  Charger cable very low qualityDamage in two weeks
Phone not good hang,1,  Camera quality is medium
Awesome mobile,5,  Awesome mobile
Wow,5,  Wow
Bad Product,1,  Finger touch is working very slowly and getting hang in between
Nice Phone low budget,5,  Battery backup awesomeCamera quality goodNo fingers
Processor is so fast,5,  This phone is amazing.Thank you Amazon for this amazing product
Nice product,4,  A good value for money and nice to be your first android phone.
Satisfactory,5,"  Will post a detailed about the product.So far,it is good."
Service. Thank you Amazon,5,  It's great experience. Thank you AMAZON TEAM.ALL THE BEST
Low budget best phone,5,  The phone is really good. I have use it for one day as off now.
Good in Rs.6799,4,"  Finger print not so good, battery life and camera quality is ok"
Bad experience with amazon,1,  This is the worst mobil I can't suggest to buy that mobil phone
Good...but still little overpriced.,5,  All good..basic entry level smartphone.
Good,5,  Fingerprint is not there in this mobile
Rear camra is very vad,3,  Only camra probleme very poor condition
Nice,5,"  Big battery , nice mobile,"
Good phone for low budget,5,  Battery capacity is goodCamera is little bit goodNo fingerprint scanner
Fabulous,5,  Best product just buy it superb
All features good work,5,"  Good look , performance is good"
Great,5,  Economic and a must buy product
Best budget phone,3,  Best budget phone at this price
Good one,4,  Recommended in this price range
Budget phone,5,  Nice mobile good
👍👍,5,  Redmi👍👍
Ok device,3,  Ok device
Loved it❤️,5,  Good perfect low budget phone
Is this nice one of budget mobile phone,4,  Not bad someone future is wrong❌ in this Smartphone 📞
Big screen and huge battery,4,  Go if u need big screen and good battery life.
Worthy buying and delivered with less time ...,5,  Good as compared to redmi 8a..With less amount
Battery life is very good,5,  Excellent in this price
Awesome,5,  Great
Ok,4,  Ok
its a good phone,4,  NA
Nice phone,5,  Nice phone it has a big display and best gaming performance 👍
Worst product,1,"  Have a bad experience, 5 mins of charge, phone gets heated up."
Nice phone at this price range,4,  I buyed for my mom its good phone she really liked that colour
It is very delicate and it needs a phone case.,5,  An amazing product! My Redmi 9A is working exceptionally well!
Hanging,1,"  Mobile is totally hanging , automatically phone is running...!"
Superb smartphone,5,  Awesome mobile I just love it. Must buy. Thank you Amazon 😍😘
Perfect phone for home ise and housewife's and school children,5,  Perfect phone for home ise and housewife's and school children
Awesome Battery nd big screen,5,  Battery is backup is awesomeCamera  quality is very low.
Slow phone,3,  Super slow phone. Just good for casual use not for heavy users
Good,4,"  Using from last 2 months , good so far"
Very nice phone,5,  I like the phone it's camera is too gd
Quality  phone,5,  Good phone very nice at this price  thanks to amazon
Great product,5,"  Great product, AMAZON is best site."
Best in valu product.,4,  Nice and best in value product
Best products. Value for money.,4,  Affordable with great quality.
Camera quality should be better.,2,  Very disappointed by redmi 9a.
Redmi 9a,5,  Phone with good battery backup
Large screen and baterry is good,4,  I satisfied with this mobile..
Best phone under 7k,5,  Good battery and built quality
Good smartphone in price range,3,  Good smartphone in price range
Good mobile ..,4,  Camera is poor.
Good,5,  Nice one
Nice,5,  Its nice
Good product,4,  Good one
Good,5,  All good
Good phone,5,  Awesome phone in low budget 💜
India's no 1 smart phone that's why they proved from this product.redmi 9A😊😊,5,"  Amazing product and slim thickness, value of money 💰"
"Not Worthy, better to go with high end In Mi.",3,"  Camera quality horrible, Red eye in all night photos."
Network problem,1,  Network problem this device cannot search the network
Best mobile phone in this price,5,  According to me in this price range No.1 mobile phone
Satisfied,4,  Camera quality is not good.  battery back up in nice.
Nice products,5,  Very nice products redmi 9aChildren very happy.
Value for money,5,  Redmi 9A sea blue looks very good.The screen is big .
Average,2,  Phone will be hang..and screen re flexuwelate
Worst mobile from redmi,1,  It’s total waste of money just an utter waste
Review,5,  Battery life is good..
Budget King,3,  Value for money phone.
In this price.....it is good,5,  Performance is awesome
Good,4,"  Fingerprints no mobile , battery life good, camera quality ok"
"When screen is off, it's music player does not work smoothly.",5,"  When screen is off, it's music player does not work smoothly."
Brilliant 👌👌👌,5,  Best  wow.....Good phone 🙂🙂🙂
Superb,5,  Superb.very good mobile in this price
Good,5,  Good choice for budget mobile
Value for money,5,  Supperbb..this price range.💪
Nice mobile. Simply looking cool.. User friendly..,5,  There no fingerprint reader..
Quality and price at its best,5,  Awesome product at best price
Battery backup is superb,5,  Really awwsome product. . . .
My order is redmi 9a nature green. But delevered to sky blue.,1,  My order is redmi 9a nature green. But delevered to sky blue.
Excellent,5,  Awesome
Terrific product.wide screen,5,  Love it
Nice camera,5,  Nice 👍
Not expected,3,  Average
good,5,  Amezing
Adipoli,5,  Adipoli
Super,5,  Good prduct
Terrible 😭,1,  Worst redmi phone ever 😭😭😭😭it hangs even in normal use
This mobile is very bad. It is very costly at Amazon,1,  This mobile is very bad. It is very costly at Amazon
"Stupid product , waste of money",1,"  Currently it's stopped working , What the hell ....."
Satisfactory,4,  Big screen good sound quality battery life also good
Camera quality is not good main problem in the phone,5,  Camera quality is not good main problem in the phone
Worst mobile I have ever seen. Not even showing wifi network.,1,  Worst mobile I have ever seen. Not even showing wifi
Mobile phone is more heating problem,1,  मोबाईल जलदी गरम होता हैHeating problem
Good looking,5,  Not applicable due to no finger print sencer
Phone,4,  Phone is very good but it's  little bit hang
Satisfied,5,  Satisfied for daily usage... Worth for money
Camere not sticfied and charging time heating problems,3,  All types good conditions but charging time heating problems
Average products....,3,  Average products.....
Mast hai,5,  Paisa wasool hai bhai
battery life strong valueable product,5,  best camera quality best budget phone
If possible please replace this charger,3,  I don't able to charge this mobile the charger was different
Worst product of Redmi,1,  It takes many hours to charge the battery. Worst mobile ever
Battery bakup,4,"  Nce mobile  two days battery life .  Nce camera,  nce selfie"
Better,4,  Camera is not good but other features of this phone is good.
Totally good,3,  Battery is good and camera is not as 13mp and not ir blaster
Mobile working it good performance,3,  Camera it goodBattery backup goodOverall 3 stars
Good Mobile at low cost.,4,  Don't expect too much at this price. Still very good camera.
It's Very good quality phones,5,  It's Very good quality phones . I am CONFATEBLE this mobaile
Good one,5,  One of the best phone in less budget
Value for money,4,  Low budget phone for value for money
No Split screen,5,  There is no split screen system 😖😖
Slow phone lot of hanging,2,  Not happy with the phone performance
Excellent phone in affordable price,4,  Excellent phone in affordable price.
Quality Feature Smartphone with Low Price,3,  Low Price Smartphone with multiple features. Seems good deal
Money,5,  Useful for money
worth,4,  good budget mobile..
Phone feedback,5,  Good phone
Not Satisfied,3,  Picture quality is very poor
Good products,5,  Bast smart phone this ranche
Very good,5,  Value for money. Very good phone.
Budjet mobile,5,  Budjut phone and it's nice to be the first coustomer of this phone
Worst product,1,  Not satisfied
Good,5,  Superb mobile
Good,5,  Overall good.
Overall good 👍,4,  Nice product
Vpv,4,  V good
Nice,5,"  Very good phone for small rate , I liked it so much"
Liked it,5,  Good performance and very cheap in rate. I like it.
Excellent,5,  Value for money. Good product to buy at this price.
In such price range it is a good product.,5,  In such a price range it is a good product.
Trusted Brand,5,  Nice phone in budget with long battery life
Don't buy this mobile simply west,1,  This mobile is not good please don't buying
Camera is not good very bad camera,5,  Camera quality is not good 3rd class camera
Value for money,3,  Camera is averageBattery life is good
Under budget phone,4,  Nice product but battery backup is not good
Long lasting battery,4,  Overall okay product
Good quality,3,  Good and totaly fine
Simply superb,4,  Mindblowing purchase
Osm,5,  Very very good phone
Camara,5,  Camera can be better
Charging is very bad,3,  Bettery life is good
Phone size,5,  Phone is little long
Phone will be hanged,1,  Use one weak only it will be hanged soft wares running slow
over all nice one,4,"  Your browser does not support HTML5 video.


   camera quality"
Wifi connection issues,1,  Not happy. Having charging issues.Not able to connect wifi.
Average,3,  Quite good product....  At these price range go for poco C3
No finger print,5,  No finger print in this normal smart phone for grand mother
For your kids for online classes.,5,  Nice phone for these days for online classes for your kids.
Nice,4,  Except camera everything is fine as per this budget phone..
बिल्कुल घटिया फोन है,1,  1महीने में ही हैंग होने लग गया ।बिल्कुल घटिया फोन है।
Camera review,2,  Camera quality not much goodThere is no fingerprint reader.
Good,3,  price ke hisab se dekha jaaye to achcha mobile hai.
The proccessor at its best price,5,  Best battery life. Quality camera .
Nice battery,5,  I like the mobile 👌 and this Price
Nice,5,  Best for giving gift
Ok product,3,  Using for 2days.... Okay product
Mobile is very nice and very good fine,5,  Battery performance very nice
Great quality,5,"  Product is osm, value for money"
Poor camera,3,  Camera quality is not good.
Awesome,4,  i love the phone🤩. So slim
Nice,5,  Best
Satisfied,5,  Woww nice phone
No.1,4,  Good quality
Only nice battery,4,  Nice battery
Awesome,5,  Liked
☆☆☆☆☆,5,  ☆☆☆☆☆
Error is every time,1,  I request to all of you to don't buy this phone...
Mobile is not good,2,  Charging very slow adaptor is not working properly
हैंग हो राहा है,1,  मोबाइल हैंग हो रहा है।मुझे रिटर्न करना है।
Bad product,2,  Battery life is worst..product is not good
Good one,4,  If you prefer Budgeted mobile go with this
Average,3,  After a month's use. It's started hanging.
Battery drains,2,  Battery life is not good... battery drains
Good device,5,  Its good device with great value for money
Good product. value for money.,5,  good at this range.
Device with good price,3,  It is a good device
A little bit bulky,4,  A little bit bulky.
Value for money,4,"  Battery Life is quite good, camera quality is as mentioned"
excellent mobile phone at this price .,4,  The phone hangs a bit but overall the performance is nice.
Nice mobile,4,  This mobile fingerprint not available battery is very good
Budget smartphone,4,  This is a budget smartphone by mi.
Low performance,2,  Phone is slow. almost not usuable.
Good phone,5,"  Good phone, happy, value for money"
If u want good camera....dont buy it,4,  Its a good phone at decent price👍
Redmi,1,  Its not proper and got broken also
V,5,  Very good evrythng
waste of money,1,  totally waste of money. camera quality very poor
OK OK,2,  Work according to its mood
Not good,2,  Function is very slow work
"Redmi mobile, waste of money",1,"  Bad mobile, waste of money"
Good Products,4,  Good
Not satisfied,1,  We are not been able to download the zoom app for online classes
it's ok without camer quality,3,  video quality is not good. picture colours are looking dule
Superb,5,  Good mobile
Nice,5,  Nice mobile
Very good experience,5,  Very good👍
NICE mobile,4,  money worth
"Chinese brand, buy micromax",1,  Worse phone
Good,5,  Good
Excellent,5,  Well
Well product,4,  Well
Nice,5,  Nice
Worth,4,  Good
Good😎😎😎,5,  Nice
Go for it nice product,5,  Nice
Good,4,  Good
Good,5,  Good
😍😍,5,  😍😍
Good,5,  Good
Good,4,  Good
Good,4,  Good
Nice,4,  Good
gd budget,5,  nice
Nice,5,  Nice
Good product,4,  Nice
Perfect,4,  Nice
Good,5,  Good
Nice,5,  Best
Good,5,  Good
Super,5,  Good
Quality,5,  Bast
Good,5,  Good
Economical,4,  Good
Good,5,  Good
Good,5,  Good
Nice,3,  Good
Mast,5,  Good
I don't recommend buying this phone,2,  Phone will hang too much... And worst performance
Value for money but go for 3 gb one,5,  Very nice but little but slow go for 3 gb variant
Nice product,5,  Nice and affordable product at such price
Super,4,  REALLY AWESOME SUPERB FOR LOW COST MOBILE
Vera level,5,  value for money..... Good.... Amazing....
Look is very good,5,  Full value of money and look  Wise very nice product 😄😄
Don't buy,1,"  Your browser does not support HTML5 video.


   Poor quality"
Battery backup is great,4,  I bought this phone before 3 months this phone is awesome
9a redmi,5,  Mobile touch Kam nahin kar raha hai automatic ho raha hai
Best phone,5,  good phone running smoothly overall best phone under 7000
Display broken....found it today,1,  Damadge product found....display already broken...what I do ???
Camera bettry video quality bed,1,  Camera quality bed bettry life 2 hourse video quality bed
The best,5,  Best mobile phone with its amazing features in this range
Mobile,2,  Good .. not more ...Ab redmi wale bhi paisa bchane lage h
Low speed phone,2,  No finger print is present. Phone speed is very very low.
Shka,3,  Display  light low
Good budget mobile,5,  Good budget mobile
Best phone &best service amozon,5,  Nice phone battery backup is good
Worth for money,5,  Worth for money and like discount
Good,5,  Good for budget phone.
Best. For this budget,4,  Nice phone easy for daily usage no issues
Good,5,  Nice mobile in this range
Expect better cemra,1,  Better betery bt u can do better with cemra
Good not bad,4,  Good mobile this price working nice
Nice phone,5,  Nice phone
Good quality,4,  Cost worth
Good,5,  Mast
Value for money,5,  Its too good in offer price😍😍.I just love it..
Simply superb,4,  Worth every paise...thanks to Amazan...MKNR..PKD
Very good product in 7500,5,"  I like this product , but add fingarprint option"
Budget phone,3,  Everything is fine but camera quality is too bad
Regarding Redmi 9A,1,  As the feature of the mobile not desirable to me
Processor is slow,5,  Phone is good. But processor is littile bit slow
Valu for many,5,  Nice i am fully certifiedAnd fast delivery
Good phone,4,"  Nice,I got redmi9a 5days ago.all performance ok."
Nice mobile in this price range,5,  Over all ok ok phone in this price range
what about phone,4,  the phone really good in just this price
Nic,5,  Nic
Will not purchase mi mobile,1,  Please don't by mi phone it's service is not good at all
Bad quality,1,  Very bad....after one month phone is not even working...
Smooth functioning,5,  Value for money at price and meet all my all essentials.
This product is epic,4,  TBH this product is just epic!!!!!!!Value of money
Mane 5000,3,  Battery live 2 dayCamera very badMobile nice
Amazing product,5,  Superb qualityGood display
Perfect in this price range,5,  Camera quality could be better
Good ones for the budget,4,  Good ones for the budget
Headphones not received,1,  Headphones not received.
Qualification bad,1,  China brand
Awesome,5,  Nice mobile and battery backupVerry injoying mobile
Helpful,5,  This mobile is a very good and its camera is also good
Nice phone 🥰,5,  Ok phone!
Very nice,5,  Very nice
Great deal,5,  Gud price
Not value for money,1,  Lag a lot
Very good,5,  Very good
Very good,5,  Very good
Ok,1,  Ok
Ok,5,  Ok
Ok,3,  Ok
I like it this mobile,5,  This mobile is very good camera is good photo s
Poor Sound,3,  Product is ok but sound quality & level is poor
Good product oveall,5,  Nice productNice cameraWorthy price
Sound is not good,4,  All is well in this phone but sound is not good
Lovely...,5,  Redami 9a - king of this budget segment mobile.
Do not buy this item.waste of money,1,  Sound quality very poor camera just ok not good
Mobile,4,  Super but fingerprint not in the mobile
Best buy,5,  Good mobile but finger print is Missing
Long battery life,5,  It's very hood smart phone in his prize
Low price with great deal,4,  Nice for low budget or for perents gift
Nice phone,5,  Nice for games like PUBG and free fire but zyro not supported
Excellent,5,  Decent camera good battery lifeBest budget phone.
I want to Return this product pls help me,3,  Item defective and doesn't workingDamaged product
Sometimes it's lagging overall it's good product,5,  Very good phone and useful it's worth it superb product
Nice product,4,  Good mobile for beginners and for normal day-to-day use
phn sahi h pr back cover nhi diya hrr mobile me milta h😒😒,4,  phn sahi h pr back cover nhi diya hrr mobile me milta h
Quality justified price,4,  It's a good product and perform according to the  price
slow phone,3,  network not working properlynetwork not supported
Worth it..!,5,  In this price range its worth it... everything included
Not satisfactory,1,  Phone got high hit at the time of charging and talking.
Goood,4,  Value for money.
Nice,5,  Osm good product
Verygood,4,  Very good mobile
Best phone and seller,5,  Best products and seller also i love amazon❤️❤️
☝️ Perfect 😍 mobile,4,  In that price mobile is best 🥳
useful product.,5,  we are satisfied. good product.
Nice product,5,  Very useful for any age group..
2g ram,3,  There is no finger print reader
Nice product,4,  nice product and So beautiful
Super,5,  Super and fast delivery
Music osm,5,  Awesome mobile thankyou
Excellent battery,5,  Excellent product
Good for basic need,4,  Nice one
awesom for 6799,5,  very nice and good product.... value for money
Budget phone,3,  Better for fresh and first users of android...
एक बेहतरीन मोबाइल हर दृस्टि से,4,  कम बजट में एक बेहतरीन फ़ोन है सभी चीजे अच्छी है
Awesome,3,  Good battery lifeRightNice
Super value....,5,  Nice product by xiomi.Look good.
Nice one,5,  Good product but delievery took 1 week
Display damage,1,  Didn't buy... Within one month display get disappeared
it's Amazing,4,  Its an amazing phone for this price.Highly Recommended
Don't buy it,1,  Unable to add finger print.. might be duplicate one 👎
This product is very good,4,"  Your browser does not support HTML5 video.


   Beautiful"
Perfromance,5,  It's really good mobile at this price.thank you amazon
Within few sec it's going auto on and off,1,  Within 15 sec its going to start and off automatically
Not completely worth,2,  It is missing few facilities comparing to other phones
Don't buy this phone,1,  Poor camera quality campare another redmi series phone
Nice phone thanks Amazon fast delivery,5,  Value for money
Good,5,  Good product 👍
Not as expected,2,  Not as expected
Value for money,4,  Value for money
Yes under 7000 best phone in India,5,  Under 7000 best phone in India
A good mobile at such a price,4,  You can buy it.
good,5,  nice
This phone is not bad,4,"  Battery is good , and fingerprint reader not available."
Charger is getting shocks,1,  Charger getting shocks
Amazing Redmi 9A mobile,4,  Amazing Redmi 9A mobile value for money battery life amazing
Good phone in low price,5,  Good phone in low price
Supar,5,  Supar
Superb,5,  Fantastic
Super,5,  Good 👌
Osm purchase,5,  Wow... Really a osm phone in this price range
According to price range good phone.,4,  Normal use for phone  call and entertainment.
Very very very very bad phone in the world,1,  It worst phone in redmi working slow very bad
Good,4,  Good. But it's charging takes too much timing
Satisfied,5,  Great product in great price loved it
Good phone,3,  Phone is good in this price range ...
I like colour blue,5,  Really nice phone. Video quality gud.
Good phone,5,  Good phone in this price 👍🏻👍🏻👍🏻
Awesome,5,  Performance is very impressive .good work.
Raju,4,  This phone battery super ..Camera averageDisplay nice
worse phone,1,"  dont go for it , it hangs alot and is very slow phone"
Better,4,  All is better but I don't recieved a soft case in box
Battery performance,4,  Better battery performance and camera quality is good
product are good,5,  camera quality some poorotherwise all over good
Redmi 9a review,5,  Every feature of this phone in term of price is best.
Very Good MI Products but delivery very poor services,5,  Very Good MI Products but delivery very poor services
Sound,1,  This mobile sound damage so i want return this mobile
Value fir money,5,  Nice mobile ..
Wow,5,  Nice mobile ☺️
Very good,5,  Very good
Best in price segme,4,  Afforble with better features
Sound quality poor,4,  The mobile sound quality poor
Awesome in this range,5,"  Really great, value for money"
Very poor,1,  Very worst camera and display
Best to buy,5,  A good product at good price.
Best feature pack in this price,5,  Its battery and build quality
Nice,5,  Value for at this price range
Excellent mobile,5,  Excellent mobile in low budget.Nice cameraGood looking.
"All over Good Phone, Only Camera Quality will be Improved",4,  Camaera Quality is Ok
Its battery,4,  Good battery life and overall performance is also good
Best to buy,5,  Ek num
Good,5,  Worthy
Awesome Product,5,  The product was awesome and value for money.
Midrange phone,5,  Amazing product in this price segment 👍👍👍
Not working properly,1,  Not working properly like charging down fast
This phone  is always hang,1,  Phone is always hang and not running smooth.
Screen was very fantastic,5,  Your browser does not support HTML5 video.
Poor Product,3,  No fingerprint.Very rough battery life
In a small budget this phone is just awesome m..,5,  Battery life and look is the most attractive
Best budget mobile phone.,4,  Nice phone but charging takes too much time.
Battery life is so good,5,  Battery life is good but camera it's average
Horrible phone,1,  Horrible phone. Not event latest is.
Best Chinese brand,5,  I got discount for the Chinese brand
Good,5,  Nice phone good looking  best camera
GREAT CAMERA,4,"  AWSM phone, at a price like this... This is best u can get"
Colour not same,5,  Colour is not same as in the picture
Value for money,5,  Camera quality ok good phone and nice delivery
Nice product,5,  Battery backup is very good. Good for online classes
It's rocking,5,  Really product is very goodAnd I enjoyed a lot
Overall moderate phone.,3,  Good phone but I think Samsung is better than redmi.
nice phone,5,"  Fingerprint is nice,  battery osm ,camera  is better"
Loud speaker not in good quality,3,  Having issue while playing songs using loud speaker.
Camera quality,4,  Everything is good but the camera quality is too bad
I am happy customer,5,  Phone is awesome you can buy it as budget smartphone
Network speed is very low in this device,1,  Very poor network speed on this device (mi resmi A9)
Good service and helping amazon,5,  I like this product and thanks for amazon service...
love mi ph,4,  Good product
India as no 1 company,5,  Good phone
Please return the product or send service center number,1,  Mobile is heating and display problem coming
Good for budget,5,  I like better
Battery life is ok not upto mark,3,  Ok ok product
Nice Product,5,  Nice and cool phone in this price range
Super mobile phone,5,  Super mobile phone mi lovely
Best Phone under 7k,5,  Superb at this Price segment
Overall the phone is value for money,5,  Good screen and battery life
Nice phone,5,  Excellent delivery by Amazon
Battery life is good,4,  According to price it's good
Best phone for daily use.,4,  Nice device at cheaper price
Phone,1,"  Is made in chaina, I not satisfied with the product."
Budget phone quality.front camera not working.,3,  Front camera not connecting.its not working.
Nice 👍,5,  Best value for money
Good,4,  Good.But Less Volume
Hang problem,5,  Camara result issues
Good,2,  Good value for money
Slow function,5,  Slow function mobile
Budget phone,3,  It's worth for money
.,5,  Super battery backup
Phone,5,  Best phone in budget
Redmi is worst in terms of battery and charger,1,  As usual worst redmi
Amazon prime,5,  Nice mobile phone 📱
Good,5,  Overall Good Product
"""Better product""",5,  Good product😀I like this😁
Best,5,  Best
Woweee,5,  Wowee
super,5,  super
Good products for less budget,4,"  No fingerprint, battery life is very good"
Good but heat,3,  Price range is good. Getting heat
It Has no heating problem,4,  It is good. I like this product preety much
Very bad fone redmi.,1,  Redmi is bad fone india. System is very bad
Very good mobile in low price,5,  For my mother in law it's very nice mobile.
Budget Smartphone,3,  JUST FINE NOT GOOD NOT BAD. SLOW PROCESSING
Made in China product,1,"  Slow charging,  camera quality is not good,"
Value For Money,5,  Sounds Quality... 👌Battery Life...👌
Will not recomend ....but I had to use.,3,  Does not covers the whole screen.. smaller in size.
Nice product,4,"  Good display , nice battery, good picture quality ."
I am not satishfaied,1,  This is a product made in china I am not sutisfaied
Super phone this prize.,4,  Performance is good this prize.  Battery life good.
Camera quality not good,5,  Phone is good but camera quality totally ver bad ..
Superb phone at low budget,5,  Product was amazing and good phone at low budget...
Camera Worst,3,  Camera is very bad.Except camera everything is fine
A crazy phone 😍,5,  Best phone for this price segment
Good,5,  Good product
Wirs,1,  Poor quality
Decent mobile,4,  Decent phone
Ok,3,  Nice not bad
Good product,5,  Good product
Good,5,  Good product
Good,5,  Good not bad
Value for money,5,  Nice product
Best,5,  Good Quality
Good product,4,  Good product
Best quality,5,  Good product
amazing product,4,  i am loving it
No charger in box,1,  Fake product
Nice product,5,  Nice product
Best,5,  Best  product for low money
👍🏻👍🏻👍🏻👍🏻👍🏻,4,  Its best According to Price
Budget Phone by redmi...,4,  Good for day to day uses....Not for online gaming..
Good phone in this price,4,  Best Phone in low price
Wonderful,5,  Wonderful product
Nice mobile,5,  Good camera clarity
Battery life overall good in this price range,4,  Good value of money
Very nice  phones,5,  Phones is very good
Made In China and endorsed as Indian phone,5,  Made in China phone
Very good,5,  Phone is good for less money and features are also good.
The delivery,5,  Everything is fine. Thank you Amazon
AWESOME..,5,  AWESOME..
Not battery  life and not better phone,1,  Dislikes this phone
A good product and reasonable price for everyone,5,  Best product and price for middle class families
Cul,5,  Call
Nice,5,  Nice
Good battery,4,  Nice
Good,5,  Good
Good,4,  Good
Good,3,  good
Good,4,  Good
good,4,  good
Nice phone,4,  Good
Good,5,  Good
V good,5,  Good
Good,4,  Good
Baad,2,  Baad
Good,5,  Good
Battery,4,  Good
Good,5,  Good
Good,5,  Good
Good,5,  Nice
Good,5,  Good
Nice piece,4,  Nice
Good,5,  Good
Good,5,  Good
Nice phone at this price,5,  Good
Nice phone,5,  Nice
Good,4,  Good
Superb,5,  Battery & camera good this midrange phone.
Quality,5,  Very good android phone in average amount.
very very good,5,  good
Super slim,5,  Best smartphone in low price rate.
Go for it,5,  Best price with excellent features
Cool,5,"  Nyc phone ,budget friendly,and awesome performance"
Thank you amazon,5,"  Thank you , AmazonBHUPESH SHARMA TABLA WADAK"
Colour difference,3,  Received with DARK Blue color.Made in china.
Made in China,1,"  Made in China, No clear information on Amazon site"
Good product and  improve camara quality,5,  Good productWorthable priceAlmost Good
Information about products,3,  Battery performance is good camera quality is good
Good product,5,  Good product
Low budget best phone,5,  Very good..
Nice product...!! Thank u amazon,4,  Nice mobile
Good product worth this money,5,  Performance
NICE VIEW,4,  GOOD PHONE IN SMALL BUDGET
Bad product,2,  Never purchase this phone.
Nice 👍,5,  Good product and low price
Very good mobile in bugged,4,  Very good mobile in bugged
Within this price tou will get better thn ths,3,"  My expectation was higher,"
Buy it,5,  Nice phone with nice price
Best service,4,  Good
Good for normal use,3,  Only for Simple use
Fabulous,5,  Fabulous but camera is not as expected 🌏🙈👉👈❤️💔
Yes,2,  No value for money
Good,5,  The Product Is Good Amazon provides Fatser delivery
Value for money,4,  Budget phone very good performance
Ronak Modi,5,  Just amazing product.
Best product,5,  Good product
For the price,4,  Overall good
Bad,2,  Bad
Battery life long,5,  Osm
Good,4,  Good quality product for the paid amount.
Best at this cost...,4,"  Value for money,I gifted this for my dad."
